Ensembl ID	Gene name	seqid	intervals	strand	location
ENSMUSG00000055371	Stam2	chr2	52632197-52727131	+	Divergent transcript
ENSMUSG00000060988	Galnt13	chr2	54221006-54326298	-	Divergent transcript
ENSMUSG00000034780	B3galt1	chr2	67399034-67738302	+	Intron
ENSMUSG00000042133	Ppig	chr2	69544149-69553593	-	Antisense RNA
ENSMUSG00000059005	Hnrnpa3	chr2	75366944-75489439	-	Antisense RNA
ENSMUSG00000027006	Dnajc10	chr2	80028144-80145895	-	Divergent transcript
ENSMUSG00000027194	Ttc17	chr2	94236748-94362253	+	Antisense RNA
		chr3	10055072-10068959	+	De novo intergenic
ENSMUSG00000027859	Ngf	chr3	102283136-102377170	-	Antisense RNA
ENSMUSG00000032952	Ap4b1	chr3	103750938-103755603	+	Elongated 3` end
ENSMUSG00000027881	Prpf38b	chr3	108818365-108842085	+	Antisense RNA
ENSMUSG00000049300	Prmt6	chr3	110159128-110293125	+	Antisense RNA
ENSMUSG00000027981	Rnpc3	chr3	113423620-113525020	+	Divergent transcript
		chr3	131957957-132166998	-	Unannotated RNA
ENSMUSG00000040943	Tet2	chr3	133250588-133325403	+	Antisense RNA
ENSMUSG00000078578	Ube2d3	chr3	135130471-135143142	-	Antisense RNA
ENSMUSG00000027552	E2f5	chr3	14534464-14644351	-	Divergent transcript
ENSMUSG00000028191	Bcl10	chr3	145584146-145630611	-	Divergent transcript
		chr3	151663695-151665827	+	Unannotated RNA
ENSMUSG00000106053	Gm20752	chr3	158553876-158776734	-	Antisense RNA
ENSMUSG00000028173	Wls	chr3	159221973-159548684;159598525-159603574	-	Antisense RNA
		chr3	16578210-16804188	+	Unannotated RNA
		chr3	49012303-49262127	+	De novo intergenic
ENSMUSG00000040374	Pex2	chr3	5640575-5767158	+	Divergent transcript
ENSMUSG00000036894	Rap2b	chr3	61232684-61273243	-	Divergent transcript
ENSMUSG00000027770	Dhx36	chr3	62415020-62485675	+	Antisense RNA
ENSMUSG00000027828	Ssr3	chr3	65249439-65251265	-	Elongated 3` end
ENSMUSG00000027829	Ccnl1	chr3	65865853-65897609	+	Antisense RNA
ENSMUSG00000043542	Zc2hc1a	chr3	7458116-7568430	-	Divergent transcript
ENSMUSG00000027835	Pdcd10	chr3	75339950-75423465	-	Elongated 3` end
ENSMUSG00000043542	Zc2hc1a	chr3	7605218-7639416	+	Elongated 3` end
ENSMUSG00000040329	Il7	chr3	7677572-7838029	+	Divergent transcript
ENSMUSG00000027995	Tlr2	chr3	83749018-83769091	+	Divergent transcript
ENSMUSG00000041734	Kirrel1	chr3	87081531-87151930	+	Antisense RNA
ENSMUSG00000004897	Hdgf	chr3	87801119-87812905	-	Antisense RNA
ENSMUSG00000001418	Glmp	chr3	88236021-88243484	+	Elongated 3` end
ENSMUSG00000028060	Khdc4	chr3	88622527-88623073	+	Elongated 3` end
ENSMUSG00000068917	Clk2	chr3	89067595-89071996	-	Divergent transcript
ENSMUSG00000042390	Gatad2b	chr3	90173310-90200777	-	Antisense RNA
ENSMUSG00000041959	S100a10	chr3	93427462-93463485	-	Antisense RNA
ENSMUSG00000068855	H2ac20	chr3	96125448-96128212	-	Inverted histones
ENSMUSG00000063689	H2ac21	chr3	96127196-96128296	+	Inverted histones
ENSMUSG00000063954	H2ac19	chr3	96147728-96152700	+	Divergent transcript
ENSMUSG00000064220	H2ac18	chr3	96147809-96152640	-	Divergent transcript
ENSMUSG00000118698	Gm25890	chr3	96386723-96393481	-	Elongated 3` end
		chr3	96394582-96395485	-	U1-cluster[Divergent transcript]
ENSMUSG00000038374	Rbm8a	chr3	96510099-96537176	-	Divergent transcript
ENSMUSG00000049288	Lix1l	chr3	96533925-96535304	+	Elongated 3` end
ENSMUSG00000028514	Usp24	chr4	106069464-106173288	-	Antisense RNA
		chr4	106664838-106698319	-	De novo intergenic
ENSMUSG00000048351	Coa7	chr4	108159540-108185331	-	Antisense RNA
ENSMUSG00000048351	Coa7	chr4	108200076-108201412	+	Elongated 3` end
ENSMUSG00000028691	Prdx1	chr4	116567141-116568944	+	Elongated 3` end
ENSMUSG00000119142	Gm23143	chr4	117062187-117063801	+	Elongated 3` end
ENSMUSG00000033365	Ipo13	chr4	117771908-117828739	+	Antisense RNA
ENSMUSG00000033326	Kdm4a	chr4	118036999-118062787	+	Antisense RNA
ENSMUSG00000028639	Ybx1	chr4	119160166-119160745	+	Antisense RNA
ENSMUSG00000028656	Cap1	chr4	122778993-122821829	+	Antisense RNA
ENSMUSG00000028653	Trit1	chr4	122951630-122955024	+	Elongated 3` end
ENSMUSG00000028648	Ndufs5	chr4	123604427-123605532	-	Elongated 3` end
ENSMUSG00000028646	Rragc	chr4	123765525-123811107	-	Divergent transcript
ENSMUSG00000043962	Thrap3	chr4	126100063-126114804	+	Divergent transcript
ENSMUSG00000028830	AU040320	chr4	126749272-126749611	+	Elongated 3` end
ENSMUSG00000043872	Zmym1	chr4	126954678-126970875	+	Divergent transcript
ENSMUSG00000001333	Sync	chr4	129157149-129181443	-	Antisense RNA
ENSMUSG00000028790	Khdrbs1	chr4	129637535-129669662	+	Antisense RNA
ENSMUSG00000028901	Gmeb1	chr4	131990922-131991205	+	Antisense RNA
ENSMUSG00000085241	Snhg3	chr4	132073123-132079236	-	Elongated 3` end
ENSMUSG00000028868	Wasf2	chr4	132797916-132857691	-	Antisense RNA
ENSMUSG00000028848	Gpn2	chr4	133273628-133311387	-	Antisense RNA
ENSMUSG00000028671	Gale	chr4	135705909-135706746	+	Elongated 3` end
ENSMUSG00000028668	Eloa	chr4	135717034-135720375	-	Elongated 3` end
	Gm52681	chr4	137085998-137115813	-	Antisense RNA
ENSMUSG00000028745	Capzb	chr4	138868221-138920124	-	Antisense RNA
ENSMUSG00000039713	Plekhg5	chr4	152160999-152171256;152172285-152186426	+	Intron
	Dhrsx	chr4	156340701-156390923	-	Antisense RNA
	Dhrsx	chr4	156404918-156405025;156405277-156405346;156405589-156405690;156408357-156408564;156408843-156409050;156409452-156409615	+	Exon
		chr4	156453843-156458251	-	Unclear intergenic
		chr4	156453843-156458251	+	Unclear intergenic
		chr4	156461469-156520116	-	De novo intergenic
		chr4	156662872-156679957	+	De novo intergenic
ENSMUSG00000041135	Ripk2	chr4	16163795-16271173	+	Divergent transcript
ENSMUSG00000028252	Ccnc	chr4	21750578-21767063	+	Elongated 3` end
ENSMUSG00000028410	Dnaja1	chr4	40748687-40750010	+	Elongated 3` end
ENSMUSG00000045573	Penk	chr4	4140221-4375248	+	Antisense RNA
ENSMUSG00000028454	Pigo	chr4	43010589-43017609	-	Elongated 3` end
ENSMUSG00000066324	Bpnt2	chr4	4792646-4925935	+	Divergent transcript
		chr4	50186395-50286183	-	Unannotated RNA
ENSMUSG00000028312	Smc2	chr4	52350236-52439643	-	Antisense RNA
ENSMUSG00000028426	Rad23b	chr4	55303917-55350911	-	Divergent transcript
ENSMUSG00000028367	Txn1	chr4	57956041-57983996	+	Divergent transcript
		chr4	64108041-64142397	-	De novo intergenic
		chr4	64609278-64886322	-	De novo intergenic
ENSMUSG00000041272	Tox	chr4	6990197-7127405	+	Antisense RNA
ENSMUSG00000086070	8430436N08Rik	chr4	7578651-7771662	+	Elongated 3` end
ENSMUSG00000073791	Efcab7	chr4	99730997-99731657	+	Intron-Exon
ENSMUSG00000029313	Aff1	chr5	103840667-103863144;103863504-103900999	+	Intron
		chr5	104810555-104836532	+	De novo intergenic
ENSMUSG00000072774	Zfp951	chr5	105008311-105067215	+	Antisense RNA
ENSMUSG00000063406	Tmed5	chr5	108251926-108269233	-	Elongated 3` end
ENSMUSG00000029512	Ulk1	chr5	110956524-110976424	+	Antisense RNA
ENSMUSG00000029345	Tfip11	chr5	112473532-112473833	-	Divergent transcript
ENSMUSG00000119132	Gm24407	chr5	115632423-115643806	+	Elongated 3` end
ENSMUSG00000018076	Med13l	chr5	118520093-118698908	-	Antisense RNA
ENSMUSG00000042605	Atxn2	chr5	121783514-121850009	-	Antisense RNA
ENSMUSG00000029427	Zcchc8	chr5	123828166-123828456;123829621-123830725	-	Elongated 3` end
ENSMUSG00000038095	Sbno1	chr5	124503243-124504501	-	Elongated 3` end
ENSMUSG00000038095	Sbno1	chr5	124569132-124573562	+	Antisense RNA
ENSMUSG00000008348	Ubc	chr5	125466906-125496180	+	Divergent transcript
ENSMUSG00000037905	Bri3bp	chr5	125538184-125538287	+	Elongated 3` end
ENSMUSG00000025538	Sumf2	chr5	129901976-129902181	+	Elongated 3` end
ENSMUSG00000028883	Sema3a	chr5	13176092-13280317;13341821-13442216	+	Intron
ENSMUSG00000029699	Ssc4d	chr5	135991818-136008792	+	Antisense RNA
ENSMUSG00000097908	4933404O12Rik	chr5	136907859-136947349	-	Divergent transcript
		chr5	138506915-138559843	+	Elongated 3` end
ENSMUSG00000056076	Eif3b	chr5	140375375-140404551	-	Antisense RNA
ENSMUSG00000066640	Fbxl18	chr5	142829471-142834114	-	Elongated 3` end
ENSMUSG00000029581	Fscn1	chr5	142892486-142945875	-	Antisense RNA
ENSMUSG00000029580	Actb	chr5	142892486-142945875	+	Antisense RNA
ENSMUSG00000047843	Bri3	chr5	144166915-144192373	-	Divergent transcript
ENSMUSG00000029625	Cpsf4	chr5	145134184-145135619	+	Elongated 3` end
ENSMUSG00000041264	Uspl1	chr5	148990606-149120387	-	Antisense RNA
ENSMUSG00000040003	Magi2	chr5	19334703-19431918	-	Divergent transcript
ENSMUSG00000039968	Rsbn1l	chr5	21156632-21189976	+	Antisense RNA
ENSMUSG00000028771	Ptpn12	chr5	21261754-21367545	+	Divergent transcript
ENSMUSG00000062604	Srpk2	chr5	23845110-23880571	-	Intron
ENSMUSG00000038072	Galnt11	chr5	25375657-25428072	-	Antisense RNA
ENSMUSG00000062761	Zfp512	chr5	31571208-31609762	-	Divergent transcript
ENSMUSG00000005299	Letm1	chr5	33945979-33949510	+	Antisense RNA
ENSMUSG00000029110	Rnf4	chr5	34449367-34493535	-	Divergent transcript
ENSMUSG00000055302	Mrfap1	chr5	36930954-36931339	-	Elongated 3` end
ENSMUSG00000005103	Wdr1	chr5	38719160-38767007	+	Divergent transcript
ENSMUSG00000029128	Rab28	chr5	41866611-41918706	+	Antisense RNA
ENSMUSG00000029176	Anapc4	chr5	52957725-52990897	-	Antisense RNA
ENSMUSG00000039191	Rbpj	chr5	53670713-53747277	-	Antisense RNA
ENSMUSG00000039156	Stim2	chr5	54068494-54156198	-	Antisense RNA
ENSMUSG00000029108	Pcdh7	chr5	57805924-57875235	-	Antisense RNA
ENSMUSG00000029213	Commd8	chr5	72266449-72280773	-	Elongated 3` end
ENSMUSG00000003161	Sri	chr5	8035885-8106284	-	Antisense RNA
ENSMUSG00000037605	Adgrl3	chr5	81058049-81167513	-	Antisense RNA
ENSMUSG00000028970	Abcb1b	chr5	8783942-8848414	-	Divergent transcript
ENSMUSG00000029380	Cxcl1	chr5	90954001-91039184	-	Antisense RNA
ENSMUSG00000029407	Uso1	chr5	92242307-92285954	-	Antisense RNA
ENSMUSG00000034639	Setmar	chr6	107972276-108042227	-	Divergent transcript
ENSMUSG00000086429	Gt(ROSA)26Sor	chr6	113016732-113016920	-	Elongated 3` end
ENSMUSG00000042079	Hnrnpf	chr6	117819481-117884591	-	Antisense RNA
ENSMUSG00000030172	Erc1	chr6	119825088-119862181	+	Antisense RNA
ENSMUSG00000030120	Mlf2	chr6	124915979-124916668	+	Elongated 3` end
		chr6	133438011-133493367	+	De novo intergenic
		chr6	133560825-133612370	+	De novo intergenic
		chr6	133560825-133612370	-	De novo intergenic
ENSMUSG00000030232	Aebp2	chr6	140511368-140569863	-	Antisense RNA
		chr6	14194631-14296887	+	De novo intergenic
ENSMUSG00000032712	Resf1	chr6	149110848-149211341	-	Antisense RNA
ENSMUSG00000029552	Tes	chr6	16998820-17065635	-	Antisense RNA
ENSMUSG00000044155	Lsm8	chr6	18755478-18848533	-	Antisense RNA
ENSMUSG00000012535	Tnpo3	chr6	29610072-29703319	+	Antisense RNA
ENSMUSG00000058440	Nrf1	chr6	29976088-30047959	-	Antisense RNA
ENSMUSG00000051855	Mest	chr6	30759014-30772409	+	Elongated 3` end
ENSMUSG00000029823	Luc7l2	chr6	38492683-38528212	-	Divergent transcript
ENSMUSG00000038507	Parp12	chr6	39095122-39167536	+	Divergent transcript
ENSMUSG00000032757	Bet1	chr6	4021575-4075624	-	Elongated 3` end
ENSMUSG00000029687	Ezh2	chr6	47587465-47588982	+	Antisense RNA
ENSMUSG00000029787	Avl9	chr6	56746183-56746322	+	Elongated 3` end
ENSMUSG00000036371	Serbp1	chr6	67290721-67291095	+	Elongated 3` end
		chr6	70878977-70880261	-	Unannotated RNA
ENSMUSG00000055239	Kcmf1	chr6	72878332-72932027	+	Antisense RNA
ENSMUSG00000051695	Pcbp1	chr6	86496865-86497169	-	Elongated 3` end
		chr6	90225975-90245694	+	De novo intergenic
ENSMUSG00000032812	Arap1	chr7	100979223-100997499	-	Antisense RNA
ENSMUSG00000064307	Lrrc51	chr7	101583853-101618543	+	Divergent transcript
ENSMUSG00000078606	Gvin2	chr7	105490730-105491041	-	Elongated 3` end
ENSMUSG00000078606	Gvin2	chr7	105601843-105756037	+	Divergent transcript
ENSMUSG00000098426	Gm27149	chr7	105684525-105688381	-	Elongated 3` end
		chr7	105824489-105953341	-	De novo intergenic
		chr7	105824489-105953341	+	De novo intergenic
	Parvas	chr7	112080670-112082116	-	Antisense RNA
ENSMUSG00000038187	Btbd10	chr7	112969852-113014203	+	Antisense RNA
ENSMUSG00000032637	Atxn2l	chr7	126101705-126140643	+	Antisense RNA
ENSMUSG00000012848	Rps5	chr7	12617734-12656520	-	Antisense RNA
ENSMUSG00000030678	Maz	chr7	126626115-126658024	+	Antisense RNA
ENSMUSG00000030822	Prr14	chr7	127063648-127070221	-	Antisense RNA
ENSMUSG00000030822	Prr14	chr7	127064171-127066227	+	Exon
ENSMUSG00000030795	Fus	chr7	127546248-127566010	-	Antisense RNA
ENSMUSG00000040177	2310057M21Rik	chr7	130927638-130938535	-	Elongated 3` end
ENSMUSG00000025499	Hras	chr7	140762966-140765059	-	Elongated 3` end
ENSMUSG00000038489	Polr2l	chr7	141024233-141051666	-	Elongated 3` end
ENSMUSG00000002083	Bbc3	chr7	16021764-16048160	-	Antisense RNA
ENSMUSG00000059273	Zc3h4	chr7	16122098-16134321	-	Antisense RNA
ENSMUSG00000052214	Opa3	chr7	18930415-18962478	-	Antisense RNA
ENSMUSG00000057667	Bloc1s3	chr7	19194003-19238317	-	Elongated 3` end
ENSMUSG00000003444	Med29	chr7	28078801-28084608	-	Elongated 3` end
ENSMUSG00000046056	Sbsn	chr7	30436849-30449856;30451495-30454223	+	Intron
		chr7	30907585-30938042	+	De novo intergenic
ENSMUSG00000066568	Lsm14a	chr7	34087825-34181885	+	Divergent transcript
ENSMUSG00000035632	Cnot3	chr7	3675930-3676295	+	Elongated 3` end
ENSMUSG00000030423	Pop4	chr7	37986436-38005362	+	Divergent transcript
		chr7	39238439-39246443	+	De novo intergenic
ENSMUSG00000069727	Zfp975	chr7	42212826-42212924	-	Elongated 3` end
		chr7	43365451-43447172	-	De novo intergenic
ENSMUSG00000002963	Pnkp	chr7	44521727-44521902	+	Elongated 3` end
ENSMUSG00000059891	Tsks	chr7	44581856-44587765;44604629-44605180	-	Antisense RNA
ENSMUSG00000019254	Ppp1r12c	chr7	4504496-4566127	+	Antisense RNA
		chr7	56196995-56345266	+	De novo intergenic
		chr7	72239553-72296006	+	Unannotated RNA
ENSMUSG00000095730	Vmn2r29	chr7	7252025-7266489	-	Intron
ENSMUSG00000000605	Clcn4	chr7	7301518-7370576	+	Divergent transcript
		chr7	73266858-73309639	+	De novo intergenic
ENSMUSG00000048897	Zfp710	chr7	79601615-79675022	-	Antisense RNA
ENSMUSG00000030643	Rab30	chr7	92332931-92390698	-	Antisense RNA
ENSMUSG00000031673	Cdh11	chr8	103511813-103591236	+	Antisense RNA
ENSMUSG00000038604	Ripor1	chr8	106320894-106332252	+	Intron
ENSMUSG00000031955	Bcar1	chr8	112435813-112436049	-	Elongated 3` end
ENSMUSG00000031505	Naxd	chr8	11531490-11547489	-	Antisense RNA
ENSMUSG00000031816	Mthfsd	chr8	121795179-121798035	-	Elongated 3` end
ENSMUSG00000046714	Foxc2	chr8	121871787-121875515	+	Elongated 3` end
ENSMUSG00000006517	Mvd	chr8	123170343-123198594	+	Divergent transcript
		chr8	124257881-124368983	+	5s-cluster
		chr8	124257881-124368983	-	5s-cluster
ENSMUSG00000031974	Abcb10	chr8	124709834-124722881	+	Divergent transcript
ENSMUSG00000038482	Tfdp1	chr8	13350478-13389069	-	Antisense RNA
ENSMUSG00000038398	Upf3a	chr8	13747662-13835597	-	Antisense RNA
ENSMUSG00000031467	Agpat5	chr8	18798966-18896996	-	Divergent transcript
		chr8	21056584-21061712	+	De novo intergenic
ENSMUSG00000031540	Kat6a	chr8	23298142-23349917	-	Antisense RNA
ENSMUSG00000015341	Golga7	chr8	23746638-23821981	+	Antisense RNA
ENSMUSG00000065954	Tacc1	chr8	25693087-25730795	-	Intron
ENSMUSG00000065954	Tacc1	chr8	25729065-25794945	+	Antisense RNA
ENSMUSG00000054823	Nsd3	chr8	26088076-26092185	-	Antisense RNA
		chr8	32710860-32804565	-	De novo intergenic
		chr8	32710860-32804565	+	De novo intergenic
ENSMUSG00000004567	Mcoln1	chr8	3519613-3550292	-	Divergent transcript
ENSMUSG00000031596	Slc7a2	chr8	41192807-41315592	-	Divergent transcript
ENSMUSG00000074357	AA386476	chr8	48128468-48136509	+	Exon
ENSMUSG00000031563	Wwc2	chr8	48443603-48483767	+	Antisense RNA
ENSMUSG00000014907	Naf1	chr8	67230875-67313560	-	Antisense RNA
ENSMUSG00000090137	Uba52	chr8	70962922-70974267	+	Antisense RNA
ENSMUSG00000045128	Rpl18a	chr8	71350158-71358580	+	Antisense RNA
ENSMUSG00000052488	Cherp	chr8	73210599-73212199	-	Elongated 3` end
ENSMUSG00000045248	Med26	chr8	73302118-73314598	+	Antisense RNA
ENSMUSG00000037148	Arhgap10	chr8	78244331-78275570	+	Antisense RNA
ENSMUSG00000031712	Il15	chr8	83129765-83213220	+	Divergent transcript
ENSMUSG00000031706	Rfx1	chr8	84771969-84793707	-	Antisense RNA
ENSMUSG00000036550	Cnot1	chr8	96534233-96551705	+	Divergent transcript
ENSMUSG00000032481	Smarcc1	chr9	109947775-109961086	-	Antisense RNA
ENSMUSG00000032512	Wdr48	chr9	119658895-119723982	-	Divergent transcript
		chr9	123952500-123961572	-	Unannotated RNA
		chr9	124079375-124093752	-	Unannotated RNA
ENSMUSG00000001774	Chordc1	chr9	18130151-18204037	-	Divergent transcript
ENSMUSG00000032178	Ilf3	chr9	21240401-21279479	-	Divergent transcript
ENSMUSG00000032185	Carm1	chr9	21435857-21457972	-	Antisense RNA
ENSMUSG00000032187	Smarca4	chr9	21507930-21527230	-	Divergent transcript
ENSMUSG00000032193	Ldlr	chr9	21580150-21635700	-	Antisense RNA
ENSMUSG00000043067	Dpy19l1	chr9	24415671-24504566	+	Divergent transcript
ENSMUSG00000032038	St3gal4	chr9	35028606-35053674	+	Divergent transcript
ENSMUSG00000032103	Pus3	chr9	35478867-35574373	+	Elongated 3` end
ENSMUSG00000032113	Chek1	chr9	36474393-36619172	-	Elongated 3` end
ENSMUSG00000042138	Msantd2	chr9	37330500-37400259	-	Antisense RNA
ENSMUSG00000032097	Ddx6	chr9	44449111-44515542	-	Antisense RNA
ENSMUSG00000055334	Snupn	chr9	56836136-56858079	-	Divergent transcript
ENSMUSG00000042557	Sin3a	chr9	56944075-56979336	-	Divergent transcript
ENSMUSG00000032334	Loxl1	chr9	58217764-58280047	+	Antisense RNA
ENSMUSG00000032336	Nptn	chr9	58463108-58490693	-	Antisense RNA
ENSMUSG00000032387	Rbpms2	chr9	65487927-65537892	-	Divergent transcript
ENSMUSG00000032231	Anxa2	chr9	69322751-69364938	-	Antisense RNA
ENSMUSG00000042688	Mapk6	chr9	75317377-75348561	+	Divergent transcript
ENSMUSG00000057367	Birc2	chr9	7837165-7848602	+	Divergent transcript
		chr9	79227546-79253058	-	De novo intergenic
ENSMUSG00000032253	Phip	chr9	82856300-82914072	+	Divergent transcript
ENSMUSG00000097677	Gm26611	chr9	88715594-88740657	-	Antisense RNA
ENSMUSG00000032407	U2surp	chr9	95393515-95462847	+	Antisense RNA
ENSMUSG00000032449	Slc25a36	chr9	96952085-96952781	-	Elongated 3` end
		chr9	97198764-97226373	+	De novo intergenic
ENSMUSG00000031229	Atrx	chrX	104972727-105008950	+	Antisense RNA
ENSMUSG00000063663	Brwd3	chrX	107663041-107774519	-	Elongated 3` end
ENSMUSG00000056679	Gpr173	chrX	151151590-151203900	+	Divergent transcript
ENSMUSG00000031299	Pdha1	chrX	158921370-159050009	+	Antisense RNA
ENSMUSG00000031357	Syap1	chrX	161637364-161638681	-	Elongated 3` end
ENSMUSG00000079316	Rab9	chrX	165261446-165331075	+	Antisense RNA
		chrX	168749073-168781227	-	De novo intergenic
		chrX	169063438-169123846	-	Unclear
		chrX	169063438-169123846	+	Unclear
		chrX	169172025-169330520	+	Unannotated RNA
		chrX	169172025-169330520	-	Unannotated RNA
ENSMUSG00000037369	Kdm6a	chrX	17864445-18029116	-	Antisense RNA
		chrX	18368627-18396407	-	De novo intergenic
		chrX	18368627-18396407	+	De novo intergenic
		chrX	18654083-18710176	-	De novo intergenic
ENSMUSG00000001134	Uxt	chrX	20868607-20881364	+	Antisense RNA
ENSMUSG00000031079	Zfp300	chrX	20955962-20983929	+	Antisense RNA
ENSMUSG00000068270	Shroom4	chrX	6233488-6312456	-	Antisense RNA
		chrX	65335682-65382259	-	De novo intergenic
		chrX	67169160-67297780	-	Unannotated RNA
		chrX	67538482-67604446	+	Unannotated RNA
ENSMUSG00000025246	Tbl1x	chrX	76049091-76557903	-	Antisense RNA
ENSMUSG00000000134	Tfe3	chrX	7607809-7629548	-	Antisense RNA
ENSMUSG00000052364	B630019K06Rik	chrX	8635432-8758421	-	Divergent transcript
ENSMUSG00000035045	Zc3h12b	chrX	94785799-94941941	+	Intron
		chrX	95690813-95903131	-	Unannotated RNA
		chrY	90735561-90864015	+	Unclear
		chrY	90735561-90864015	-	Unclear
